observation_id_ref,scientific_name,sex_P21,confidence_score,annotator_metadata,Crown,Crest,Nape,Chin,Bill,Gorget,Breast,Belly,Flanks,Back,Rump,Tail_coverts,Rectrices,Remiges
346471713,Cynanthus latirostris,Male,4,User: Jair | Session: 2026-05-26 11:04,Q69914710,Q2145530,Q108183,Q112732364,Q11090565,Q112732637,Q57305302,Q69915238,Q5922149,Q11606233,Q110103231,Q23444,Q123227593,Q612837
343549139,Oxypogon guerinii,Female,4,User: Jair | Session: 2026-05-26 11:12,Q901731,Q106512361,Q90809398,Q137374868,Q123227593,Q2905897,Q1670336,Q3849855,Q612837,Q71406823,Q132673694,Q96803467,Q612837,Q901731
346042722,Doricha eliza,Male,3,User: Jair | Session: 2026-05-26 11:19,Q137374868,Q106512361,Q4009899,Q4013847,Q123227593,Q90809330,Q2905897,Q3849855,Q1670336,Q4009897,Q6551204,Q17122854,Q24239813,Q111905166
344793562,Doricha enicura,Male,2,User: Jair | Session: 2026-05-26 11:28,Q106622682,Q106512361,Q11607726,Q123227593,Q123227593,Q112732364,Q3776737,Q3776737,Q25349006,Q3776736,Q111851367,Q3776737,Q123227593,Q123227593
346375764,Hylocharis chrysura,Female,4,User: Jair | Session: 2026-05-27 16:25,Q3776736,Q106512361,Q25349006,Q106512361,Q60971306,Q2722041,Q3738728,Q3738728,Q3776736,Q25349006,Q25349006,Q24239813,Q90809398,Q90809398
346294236,Hylocharis sapphirina,Female,2,User: Jair | Session: 2026-05-27 16:31,Q112732364,Q106512361,Q42845936,Q111960788,Q60971306,Q11607726,Q3776737,Q3776737,Q3776737,Q4009899,Q71406823,Q24239813,Q90809398,Q90809398
346260845,Chaetocercus heliodor,Male,5,User: Jair | Session: 2026-05-27 16:37,Q115413850,Q106512361,Q124302386,Q123227593,Q123227593,Q1402829,Q124328099,Q97528669,Q112732567,Q11151270,Q90809332,Q23444,Q23444,Q124328099
285516690,Chaetocercus berlepschi,Female,2,User: Jair | Session: 2026-05-27 16:41,Q137374868,Q106512361,Q137374868,Q3738728,Q123227593,Q106510555,Q106510555,Q106510555,Q106510555,Q137374868,Q3776736,Q23444,Q612837,Q115413850
261263185,Vitex gigantea,Female,1,User: Jair | Session: 2026-05-27 16:43,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361
342624162,Chaetocercus jourdanii,Male,3,User: Jair | Session: 2026-05-27 16:49,Q115653492,Q106512361,Q90809316,Q90809330,Q123227593,Q1402829,Q3849855,Q119267340,Q137832030,Q11607726,Q115959845,Q24239813,Q111905166,Q90809398
280941566,Chaetocercus astreans,Female,2,User: Jair | Session: 2026-05-27 16:54,Q90809398,Q3776736,Q3776736,Q90809330,Q123227593,Q106510555,Q3849855,Q2905897,Q2778382,Q115653492,Q115959845,Q18349136,Q24239813,Q24239813
343012876,Chaetocercus bombus,Female,2,User: Jair | Session: 2026-05-27 16:57,Q90809398,Q106512361,Q3776736,Q3738728,Q123227593,Q3738728,Q2411228,Q2905897,Q3776736,Q3776736,Q3776736,Q18349136,Q24239813,Q24239813
345981107,Microchera albocoronata,Male,4,User: Jair | Session: 2026-05-27 17:04,Q25402474,Q3757283,Q69914380,Q115413850,Q123227593,Q123227593,Q1403218,Q109433927,Q123227593,Q114001780,Q115942166,Q123227593,Q115859278,Q124328099
346327526,Rhodopis vesper,Female,2,User: Jair | Session: 2026-05-27 17:13,Q90809337,Q106512361,Q115736060,Q3776737,Q123227593,Q109442450,Q3776737,Q42519,Q25614085,Q17245659,Q111960788,Q12901657,Q96803467,Q96803467
341121424,Topaza pyra,Male,4,User: Jair | Session: 2026-05-27 17:18,Q123227593,Q106512361,Q123227593,Q97342321,Q123227593,Q24837001,Q90809354,Q60679352,Q97342321,Q108312069,Q90809391,Q123227593,Q123227593,Q123227593
345266308,Topaza pella,Female,2,User: Jair | Session: 2026-05-27 17:25,Q691510,Q106512361,Q11607726,Q110102667,Q123227593,Q60971306,Q11677801,Q111080140,Q11607726,Q90809482,Q115859278,Q115653492,Q24239813,Q24239813
346448016,Chaetocercus mulsant,Male,5,User: Jair | Session: 2026-05-27 17:31,Q11607726,Q106512361,Q90809316,Q2905897,Q123227593,Q124327881,Q2905897,Q2905897,Q24574924,Q3556225,Q39046969,Q3776737,Q3556203,Q24239813
346149218,Polyerata amabilis,Male,4,User: Jair | Session: 2026-05-27 17:36,Q57305337,Q106512361,Q90799158,Q11607726,Q123227593,Q90809480,Q3556225,Q5025363,Q56887985,Q91417704,Q25349006,Q3776737,Q137374868,Q90809398
346422586,Saucerottia beryllina,Male,3,User: Jair | Session: 2026-05-27 17:42,Q3776736,Q106512361,Q492192,Q96803467,Q123227593,Q4009903,Q3556225,Q1970335,Q25349006,Q1403218,Q2013559,Q3762369,Q24239818,Q124216405
346466020,Chlorostilbon lucidus,Male,2,User: Jair | Session: 2026-05-27 17:48,Q3641130,Q106512361,Q90809482,Q373058,Q123227593,Q61927422,Q69915238,Q4009903,Q24837001,Q115653492,Q108183,Q137832030,Q11606233,Q137374868
345551958,Cynanthus doubledayi,Female,1,User: Jair | Session: 2026-05-27 18:29,Q137374868,Q106512361,Q901731,Q1670336,Q123227593,Q71406823,Q71406823,Q132673694,Q71406823,Q25349006,Q71406823,Q124309091,Q90809398,Q137374868
334100908,Lampornis castaneoventris cinereicauda,Male,5,User: Jair | Session: 2026-05-27 18:41,Q112732364,Q106512361,Q90809482,Q133280730,Q123227593,Q114420553,Q61927422,Q97377848,Q2553431,Q90809560,Q25336662,Q137374868,Q133280730,Q124328099
328428628,Eriocnemis aline,Male,4,User: Jair | Session: 2026-05-27 18:50,Q111851367,Q106512361,Q15141721,Q69914710,Q123227593,Q114420553,Q61927422,Q114420553,Q3556203,Q11607726,Q90809482,Q114420553,Q124328099,Q124328099
346192509,Chlorestes notata,Male,3,User: Jair | Session: 2026-05-27 18:59,Q57305216,Q106512361,Q3641120,Q97528669,Q112732567,Q112732637,Q56881339,Q61927422,Q11607726,Q96803467,Q112732567,Q90809316,Q112732567,Q124328099
344756674,Anthocephala berlepschi,Male,4,User: Jair | Session: 2026-05-27 19:13,Q98148703,Q106512361,Q106622682,Q97528669,Q123227593,Q2905897,Q1970335,Q2411228,Q106510555,Q71406823,Q3738728,Q90809398,Q71406823,Q901731
323610659,Saucerottia cupreicauda,Male,3,User: Jair | Session: 2026-06-01 16:16,Q13424722,Q71406823,Q18349136,Q96803467,Q123227593,Q137832030,Q119267340,Q106510555,Q24239813,Q2722041,Q543923,Q111905166,Q24239813,Q901731
346027634,Sappho sparganurus,Female,2,User: Jair | Session: 2026-06-01 16:25,Q105996967,Q106512361,Q69914710,Q15141721,Q123227593,Q3776737,Q3776736,Q4001278,Q90809560,Q4009903,Q3117006,Q108312069,Q3621276,Q124328099
342713166,Oxypogon stuebelii,Male,4,User: Jair | Session: 2026-06-01 16:31,Q2510690,Q123227593,Q18349136,Q137374868,Q123227593,Q218218,Q1670336,Q1970335,Q124309091,Q24239813,Q612837,Q112056389,Q106061107,Q90809398
154417364,Phaethornis bourcieri major,Female,4,User: Jair | Session: 2026-06-01 16:41,Q137374868,Q106512361,Q137374868,Q2905897,Q123227593,Q2905897,Q3849855,Q901731,Q137374868,Q132673694,Q137374868,Q612837,Q24239813,Q612837
345841907,Selasphorus calliope,Female,4,User: Jair | Session: 2026-06-01 16:46,Q492192,Q106512361,Q3556225,Q133280730,Q123227593,Q133280730,Q133280730,Q25402007,Q3738728,Q115676970,Q90809560,Q133280730,Q112732567,Q123227593
159127356,Oxypogon lindenii,Female,3,User: Jair | Session: 2026-06-01 16:52,Q11677801,Q3776736,Q3776737,Q133280730,Q123227593,Q24837023,Q24837023,Q3776737,Q96803467,Q3776736,Q106622682,Q24837023,Q133176313,Q137374868
202067771,Phaethornis griseogularis porcullae,Female,3,User: Jair | Session: 2026-06-01 16:58,Q137374868,Q106512361,Q137374868,Q105996967,Q112732567,Q3116788,Q24837023,Q3738728,Q109442450,Q136459339,Q3738728,Q24837023,Q3738728,Q109442450
253056362,Oxypogon cyanolaemus,Female,3,User: Jair | Session: 2026-06-01 17:02,Q124309091,Q106512361,Q901731,Q132673694,Q123227593,Q2905897,Q24837023,Q1670336,Q132673694,Q119267340,Q90809398,Q1670336,Q24239813,Q90809398
344480826,Ocreatus addae,Male,3,User: Jair | Session: 2026-06-01 17:08,Q3556225,Q106512361,Q5922149,Q90809560,Q123227593,Q11607726,Q108183,Q90809560,Q11607726,Q3556225,Q90809487,Q137374868,Q11607726,Q137374868
345363998,Phaethornis mexicanus,Female,3,User: Jair | Session: 2026-06-01 17:13,Q137374868,Q106512361,Q136459339,Q3776737,Q123227593,Q136459339,Q137374868,Q132673694,Q136459339,Q96803467,Q137374868,Q109442450,Q96803467,Q901731
306130348,Phaethornis aethopygus,Male,3,User: Jair | Session: 2026-06-01 17:28,Q96803467,Q901731,Q137374868,Q137374868,Q123227593,Q2722041,Q90809553,Q110102667,Q3660634,Q115653492,Q60971306,Q24239813,Q96803467,Q612837
345551291,Saucerottia tobaci,Female,3,User: Jair | Session: 2026-06-01 17:33,Q90809560,Q106512361,Q492192,Q111851367,Q123227593,Q11607726,Q3556203,Q3556225,Q4009903,Q115653492,Q96803467,Q133176313,Q112732567,Q112732567
346501601,Colibri cyanotus,Male,5,User: Jair | Session: 2026-06-01 17:40,Q42845936,Q106512361,Q5922149,Q115959845,Q123227593,Q90809487,Q90799158,Q11607726,Q11607726,Q3556225,Q39046969,Q25402007,Q115959845,Q137374868
337620915,Lophornis verreauxii,Male,4,User: Jair | Session: 2026-06-01 17:54,Q90809398,Q137374868,Q11607726,Q115959845,Q123227593,Q3776736,Q901731,Q137374868,Q137374868,Q15141721,Q124309091,Q2905897,Q24239813,Q124328099
340043223,Saucerottia cyanifrons,Male,5,User: Jair | Session: 2026-06-03 20:26,Q61927422,Q106512361,Q11607726,Q90809482,Q123227593,Q90809560,Q69914710,Q11607726,Q69914710,Q13424722,Q18349136,Q24239813,Q124328099,Q123227593
336426724,Chrysuronia humboldtii,Male,3,User: Jair | Session: 2026-06-03 20:39,Q111812647,Q106512361,Q11607726,Q61927422,Q3621275,Q11607726,Q69914710,Q3776737,Q69914710,Q3116794,Q15141721,Q24239813,Q124328099,Q137374868
345836229,Polyerata decora,Male,4,User: Jair | Session: 2026-06-03 20:49,Q119267768,Q61927422,Q39046969,Q96803467,Q123227593,Q90809480,Q115736060,Q3556204,Q119267768,Q97377848,Q24239813,Q3776737,Q123227593,Q124328099
346451545,Heliangelus clarisse,Male,4,User: Jair | Session: 2026-06-03 21:00,Q112732567,Q106512361,Q19599545,Q112732567,Q123227593,Q211140,Q109442450,Q105996967,Q90809560,Q39046969,Q3556203,Q3776737,Q124328099,Q124328099
318840798,Campylopterus calcirupicola,Female,5,User: Jair | Session: 2026-06-03 21:15,Q25614085,Q106512361,Q15141721,Q133280730,Q123227593,Q133280730,Q133280730,Q105996967,Q90809560,Q90809448,Q3556203,Q3776737,Q90809316,Q137374868
346197775,Saucerottia cyanocephala,Male,4,User: Jair | Session: 2026-06-03 21:23,Q61927422,Q89507824,Q3556203,Q2905897,Q123227593,Q2905897,Q2905897,Q24837023,Q25614085,Q137374868,Q901731,Q536284,Q90809398,Q137374868
217785743,Oreonympha nobilis albolimbata,Female,4,User: Jair | Session: 2026-06-03 21:33,Q124328099,Q112732364,Q3776736,Q5579480,Q123227593,Q112732567,Q3776737,Q1670336,Q71406823,Q137374868,Q18349136,Q612837,Q124328099,Q124328099
263567085,Coeligena consita,Female,4,User: Jair | Session: 2026-06-03 21:55,Q112732567,Q112732364,Q3776736,Q112732567,Q123227593,Q111080140,Q25349006,Q60971306,Q112732350,Q3776736,Q2411228,Q1091453,Q137374868,Q124328099
344219678,Oreotrochilus cyanolaemus,Male,5,User: Jair | Session: 2026-06-03 22:02,Q11607726,Q106512361,Q69914710,Q112732567,Q123227593,Q61927422,Q133289362,Q105996967,Q112732446,Q96803467,Q13424722,Q3776737,Q137374868,Q112732567
335870059,Polylepis incana,Unknown,1,User: Jair | Session: 2026-06-03 22:05,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361,Q106512361
346453637,Saucerottia saucerottei,Female,5,User: Jair | Session: 2026-06-03 22:14,Q42845936,Q106512361,Q492192,Q136459339,Q123227593,Q3776736,Q492192,Q13424722,Q137832030,Q24574924,Q5579480,Q24239813,Q71406823,Q71406823
144604867,Coeligena violifer albicaudata,Male,5,User: Jair | Session: 2026-06-05 23:16,Q97528669,Q61927422,Q13424722,Q97528669,Q112732567,Q134313514,Q69914710,Q2411228,Q11677801,Q25349006,Q3776736,Q3776737,Q137374868,Q137374868
346239416,Amazilis amazilia,Male,2,User: Jair | Session: 2026-06-05 23:24,Q3776736,Q106512361,Q2553431,Q96803467,Q115413993,Q90809487,Q110102667,Q60971306,Q60971306,Q15141721,Q543923,Q110102667,Q115859278,Q137374868
343547744,Amazilis amazilia amazilia,Female,2,User: Jair | Session: 2026-06-05 23:28,Q115676970,Q106512361,Q13424722,Q137832030,Q115413993,Q90313161,Q110102667,Q124327873,Q124302644,Q90809281,Q543923,Q110102667,Q115859278,Q123227593
