"scientificName","canonicalName","key"
"Thaumasius baeri (Simon, 1901)","Thaumasius baeri",11003518
"Chrysuronia goudoti (Bourcier, 1843)","Chrysuronia goudoti",11006952
"Nesophlox lyrura (Gould, 1869)","Nesophlox lyrura",11009934
"Saucerottia cyanocephala (R.Lesson, 1830)","Saucerottia cyanocephala",11012170
"Chrysuronia versicolor (Vieillot, 1818)","Chrysuronia versicolor",11021619
"Saucerottia cyanura (Gould, 1859)","Saucerottia cyanura",11023781
"Saucerottia viridigaster (Bourcier, 1843)","Saucerottia viridigaster",11027010
"Phaeoptila sordida (Gould, 1859)","Phaeoptila sordida",11036882
"Chrysuronia grayi (Delattre & Bourcier, 1846)","Chrysuronia grayi",11038734
"Thaumasius taczanowskii P.L.Sclater, 1879","Thaumasius taczanowskii",11042396
"Chrysuronia leucogaster (J.F.Gmelin, 1788)","Chrysuronia leucogaster",11046492
"Riccordia bicolor (J.F.Gmelin, 1788)","Riccordia bicolor",11049786
"Chlorestes candida (Bourcier & Mulsant, 1846)","Chlorestes candida",11055764
"Riccordia bracei (Lawrence, 1877)","Riccordia bracei",11060764
"Leucolia wagneri (A.R.Phillips, 1966)","Leucolia wagneri",11067791
"Microchera cupreiceps (Lawrence, 1866)","Microchera cupreiceps",11068201
"Chionomesa lactea (R.Lesson, 1832)","Chionomesa lactea",11070437
"Pampa excellens Wetmore, 1941","Pampa excellens",11075355
"Pampa rufa (R.Lesson, 1840)","Pampa rufa",11076589
"Saucerottia castaneiventris (Gould, 1856)","Saucerottia castaneiventris",11077667
"Chlorestes julie (Bourcier, 1843)","Chlorestes julie",11080380
"Riccordia maugaeus (Audebert & Vieillot, 1801)","Riccordia maugaeus",11091395
"Cynanthus forficatus (Ridgway, 1885)","Cynanthus forficatus",11101465
"Goldmania bella (Nelson, 1912)","Goldmania bella",11110017
"Ramosomyia wagneri (A.R.Phillips, 1966)","Ramosomyia wagneri",11713117
