color,colorLabel,hex
http://www.wikidata.org/entity/Q64211725,carmine pink,FB503B
http://www.wikidata.org/entity/Q5043987,carnelian,B31B1B
http://www.wikidata.org/entity/Q3660634,carrot red,ED9133
http://www.wikidata.org/entity/Q2541418,celadon,ACE1AF
http://www.wikidata.org/entity/Q3556204,celadon green,83A697
http://www.wikidata.org/entity/Q115924565,chalk white,E6E9E9
http://www.wikidata.org/entity/Q115924565,chalk white,EAECE9
http://www.wikidata.org/entity/Q115924565,chalk white,FBFFFF
http://www.wikidata.org/entity/Q5069879,champagne,FAF2C5
http://www.wikidata.org/entity/Q109435152,charcoal,36454F
http://www.wikidata.org/entity/Q96803467,charcoal grey,3C4142
http://www.wikidata.org/entity/Q97342321,chartreuse green,D9E367
http://www.wikidata.org/entity/Q11538188,cherry blossom pink,FEEEED
http://www.wikidata.org/entity/Q106065949,chili pepper,9B1B30
http://www.wikidata.org/entity/Q106065949,chili pepper,E32227
http://www.wikidata.org/entity/Q110103231,china blue,53677A
http://www.wikidata.org/entity/Q90809398,cigar brown,6D4F4B
http://www.wikidata.org/entity/Q5120881,cinereous,98817B
http://www.wikidata.org/entity/Q4009897,cinnabar green,58791E
http://www.wikidata.org/entity/Q4009897,cinnabar green,58791E
http://www.wikidata.org/entity/Q5122822,citrine,E4D00A
http://www.wikidata.org/entity/Q2974481,citron,DDD06A
http://www.wikidata.org/entity/Q18658462,clam pink,FDFFF4
http://www.wikidata.org/entity/Q137071644,cloud white,F2F2ED
http://www.wikidata.org/entity/Q4013847,cobalt violet,74489C
http://www.wikidata.org/entity/Q11538718,color of safflower,FFD768
http://www.wikidata.org/entity/Q111812647,cool black,002E63
http://www.wikidata.org/entity/Q106061107,cork,40291D
http://www.wikidata.org/entity/Q90809250,cornsilk,FFF8DC
http://www.wikidata.org/entity/Q106006497,coyote,DDB77B
http://www.wikidata.org/entity/Q87067369,cyan,00FFFF
http://www.wikidata.org/entity/Q20529018,cyclamen,F56FA1
http://www.wikidata.org/entity/Q110102703,daffodil,FFFF31
http://www.wikidata.org/entity/Q90799164,dark  orange,FF8C00
http://www.wikidata.org/entity/Q112083819,dark Teal Tune,115077
http://www.wikidata.org/entity/Q11606233,dark blue,233B6C
http://www.wikidata.org/entity/Q130530219,dark charcoal,333333
http://www.wikidata.org/entity/Q90809255,dark cyan,008B8B
http://www.wikidata.org/entity/Q90809255,dark cyan,008B8B
http://www.wikidata.org/entity/Q90809261,dark goldenrod,B8860B
http://www.wikidata.org/entity/Q113448965,dark indigo,310062
http://www.wikidata.org/entity/Q111851367,dark jungle green,1A2421
http://www.wikidata.org/entity/Q90809266,dark khaki,BDB76B
http://www.wikidata.org/entity/Q90809273,dark magenta,8B008B
http://www.wikidata.org/entity/Q90809281,dark olive green,556B2F
http://www.wikidata.org/entity/Q90809286,dark orchid,9932CC
http://www.wikidata.org/entity/Q115944478,dark ruby,6C4541
http://www.wikidata.org/entity/Q90809303,dark sea green,8FBC8F
http://www.wikidata.org/entity/Q90809308,dark slate blue,483D8B
http://www.wikidata.org/entity/Q90809316,dark slate gray,2F4F4F
http://www.wikidata.org/entity/Q84430751,dark turquoise,00CED1
http://www.wikidata.org/entity/Q90809330,dark violet,9400D3
